State,County,Candidate,Party,Incumbent,Vote,Pct,Winner,Delegates,fips
Alabama,Autauga,Donald Trump,Republican,No,7678,82.8,Yes,50,1001
Alabama,Autauga,Nikki Haley,Republican,No,1143,12.3,No,0,1001
Alabama,Baldwin,Donald Trump,Republican,No,30242,80,Yes,50,1003
Alabama,Baldwin,Nikki Haley,Republican,No,6093,16.1,No,0,1003
Alabama,Barbour,Donald Trump,Republican,No,30242,80,Yes,50,1005
Alabama,Barbour,Nikki Haley,Republican,No,6093,16.1,No,0,1005
Alabama,Bibb,Donald Trump,Republican,No,2815,93.4,Yes,50,1007
Alabama,Bibb,Nikki Haley,Republican,No,135,4.5,No,0,1007
Alabama,Blount,Donald Trump,Republican,No,8834,91.3,Yes,50,1009
Alabama,Blount,Nikki Haley,Republican,No,556,5.7,No,0,1009
Alabama,Bullock,Donald Trump,Republican,No,8834,91.3,Yes,50,1011
Alabama,Bullock,Nikki Haley,Republican,No,556,5.7,No,0,1011
Alabama,Butler,Donald Trump,Republican,No,2357,90.2,Yes,50,1013
Alabama,Butler,Nikki Haley,Republican,No,194,7.4,No,0,1013
Alabama,Calhoun,Donald Trump,Republican,No,13191,86.1,Yes,50,1015
Alabama,Calhoun,Nikki Haley,Republican,No,1491,9.7,No,0,1015
Alabama,Chambers,Donald Trump,Republican,No,13191,86.1,Yes,50,1017
Alabama,Chambers,Nikki Haley,Republican,No,1491,9.7,No,0,1017
Alabama,Cherokee,Donald Trump,Republican,No,3768,89.5,Yes,50,1019
Alabama,Cherokee,Nikki Haley,Republican,No,346,8.2,No,0,1019
Alabama,Chilton,Donald Trump,Republican,No,7272,91.4,Yes,50,1021
Alabama,Chilton,Nikki Haley,Republican,No,461,5.8,No,0,1021
Alabama,Choctaw,Donald Trump,Republican,No,7272,91.4,Yes,50,1023
Alabama,Choctaw,Nikki Haley,Republican,No,461,5.8,No,0,1023
Alabama,Clarke,Donald Trump,Republican,No,3096,91.5,Yes,50,1025
Alabama,Clarke,Nikki Haley,Republican,No,212,6.3,No,0,1025
Alabama,Clay,Donald Trump,Republican,No,3189,90.8,Yes,50,1027
Alabama,Clay,Nikki Haley,Republican,No,234,6.7,No,0,1027
Alabama,Cleburne,Donald Trump,Republican,No,3189,90.8,Yes,50,1029
Alabama,Cleburne,Nikki Haley,Republican,No,234,6.7,No,0,1029
Alabama,Coffee,Donald Trump,Republican,No,7582,86.3,Yes,50,1031
Alabama,Coffee,Nikki Haley,Republican,No,859,9.8,No,0,1031
Alabama,Colbert,Donald Trump,Republican,No,7157,85.6,Yes,50,1033
Alabama,Colbert,Nikki Haley,Republican,No,891,10.6,No,0,1033
Alabama,Conecuh,Donald Trump,Republican,No,7157,85.6,Yes,50,1035
Alabama,Conecuh,Nikki Haley,Republican,No,891,10.6,No,0,1035
Alabama,Coosa,Donald Trump,Republican,No,1889,90.2,Yes,50,1037
Alabama,Coosa,Nikki Haley,Republican,No,146,7,No,0,1037
Alabama,Covington,Donald Trump,Republican,No,6728,91,Yes,50,1039
Alabama,Covington,Nikki Haley,Republican,No,441,6,No,0,1039
Alabama,Crenshaw,Donald Trump,Republican,No,6728,91,Yes,50,1041
Alabama,Crenshaw,Nikki Haley,Republican,No,441,6,No,0,1041
Alabama,Cullman,Donald Trump,Republican,No,15255,89.3,Yes,50,1043
Alabama,Cullman,Nikki Haley,Republican,No,1308,7.7,No,0,1043
Alabama,Dale,Donald Trump,Republican,No,5784,86.9,Yes,50,1045
Alabama,Dale,Nikki Haley,Republican,No,599,9,No,0,1045
Alabama,Dallas,Donald Trump,Republican,No,5784,86.9,Yes,50,1047
Alabama,Dallas,Nikki Haley,Republican,No,599,9,No,0,1047
Alabama,DeKalb,Donald Trump,Republican,No,9707,89.4,Yes,50,1049
Alabama,DeKalb,Nikki Haley,Republican,No,787,7.2,No,0,1049
Alabama,Elmore,Donald Trump,Republican,No,11960,85.8,Yes,50,1051
Alabama,Elmore,Nikki Haley,Republican,No,1497,10.7,No,0,1051
Alabama,Escambia,Donald Trump,Republican,No,11960,85.8,Yes,50,1053
Alabama,Escambia,Nikki Haley,Republican,No,1497,10.7,No,0,1053
Alabama,Etowah,Donald Trump,Republican,No,11137,87.7,Yes,50,1055
Alabama,Etowah,Nikki Haley,Republican,No,1184,9.3,No,0,1055
Alabama,Fayette,Donald Trump,Republican,No,3176,92.1,Yes,50,1057
Alabama,Fayette,Nikki Haley,Republican,No,201,5.8,No,0,1057
Alabama,Franklin,Donald Trump,Republican,No,3176,92.1,Yes,50,1059
Alabama,Franklin,Nikki Haley,Republican,No,201,5.8,No,0,1059
Alabama,Geneva,Donald Trump,Republican,No,4533,91.4,Yes,50,1061
Alabama,Geneva,Nikki Haley,Republican,No,296,6,No,0,1061
Alabama,Greene,Donald Trump,Republican,No,192,90.1,Yes,50,1063
Alabama,Greene,Nikki Haley,Republican,No,18,8.5,No,0,1063
Alabama,Hale,Donald Trump,Republican,No,192,90.1,Yes,50,1065
Alabama,Hale,Nikki Haley,Republican,No,18,8.5,No,0,1065
