State,Candidate,Party,Incumbent,Vote,Pct,Winner,Delegates
Alaska,Joe Biden,Democratic,Yes,0,0,Yes,15
Alaska,Donald Trump,Republican,No,9243,87.6,Yes,29
Alaska,Nikki Haley,Republican,No,1266,12,No,0
Alabama,Joe Biden,Democratic,Yes,168080,89.5,Yes,52
Alabama,Uncommitted,Democratic,No,11283,6,No,0
Alabama,Dean Phillips,Democratic,No,8442,4.5,No,0
Alabama,Donald Trump,Republican,No,499147,83.2,Yes,50
Alabama,Nikki Haley,Republican,No,77989,13,No,0
American Samoa,Donald Trump,Republican,No,0,110,Yes,9
American Samoa,Nikki Haley,Republican,No,0,0,No,0
American Samoa,Jason Palmer,Democratic,No,51,56,Yes,3
American Samoa,Joe Biden,Democratic,Yes,40,44,No,3
American Samoa,Dean Phillips,Democratic,No,0,0,No,0
Arizona,Joe Biden,Democratic,Yes,375110,89.3,Yes,72
Arizona,Marianne Williamson,Democratic,No,15844,3.8,No,0
Arizona,Dean Phillips,Democratic,No,11611,2.8,No,0
Arizona,Donald Trump,Republican,No,492299,78.8,Yes,43
Arizona,Nikki Haley,Republican,No,110966,17.8,No,0
Arkansas,Joe Biden,Democratic,Yes,71978,88.5,Yes,31
Arkansas,Marianne Williamson,Democratic,No,3883,4.8,No,0
Arkansas,Dean Phillips,Democratic,No,2346,2.9,No,0
Arkansas,Donald Trump,Republican,No,204898,76.9,Yes,39
Arkansas,Nikki Haley,Republican,No,49085,18.4,No,1
Arkansas,Asa Hutchinson,Republican,No,7377,2.8,No,0
California,Donald Trump,Republican,No,1962851,79.2,Yes,169
California,Nikki Haley,Republican,No,431870,17.4,No,0
Colorado,Joe Biden,Democratic,Yes,477365,82.5,Yes,72
Colorado,Uncommitted,Democratic,No,52122,9,No,0
Colorado,Dean Phillips,Democratic,No,17936,3.1,No,0
Colorado,Marianne Williamson,Democratic,No,16761,2.9,No,0
Colorado,Donald Trump,Republican,No,555863,63.5,Yes,24
Colorado,Nikki Haley,Republican,No,291615,33.3,No,12
Connecticut,Joe Biden,Democratic,Yes,55533,84.7,Yes,60
Connecticut,Uncommitted,Democratic,No,7619,11.6,No,0
Connecticut,Marianne Williamson,Democratic,No,1490,2.3,No,0
Connecticut,Donald Trump,Republican,No,34750,77.9,Yes,28
Connecticut,Nikki Haley,Republican,No,6229,14,No,0
Connecticut,Uncommitted,Republican,No,2166,4.8,No,0
Delaware,Joe Biden,Democratic,Yes,0,0,Yes,19
Delaware,Donald Trump,Republican,No,0,0,Yes,16
Democrats Abroad,Joe Biden,Democratic,Yes,6910,80.1,Yes,13
